첨부자료,Lab 일련번호,LOT,점착사양,인쇄/배면,분류,배합,점착력,가열압착,내열성,내후성,내습성,야외폭로,가공/유지력,절곡성,레이저커팅성,내충격성,비고
"24-12-11_909Z,633TH_가공성(1h,8mm,2B)_0d.pdf;24-12-11_909Z,633TH_가공성(1h,8mm,2B)_1d.pdf;24-12-11_909Z,633TH_가공성(1h,8mm,2B)_2d.pdf;24-12-12_SG120241210002_야외폭로(BA)_53일 탈리.pdf;24-12-27_909Z,883_가공성(1h,8mm,2B)_0d.pdf;24-12-27_909Z,883_가공성(1h,8mm,2B)_1d.pdf;25-01-16_909Z사선100mesh_유니코 들뜸 피드백.pdf",1059,SG120241210002,909Z/사선100mesh/T45(50)x1080x300x1R,,"[유니코정밀]냉기도어,PCM용",909(N.V 46.9%) 44.44g + CX-100(N.V. 100%)(2.75%) 0.57g + SV02(N.V 40%)(2%) 1.04g + TSR5903(N.V 50%)(15%) 6.25g + T5845(N.V. 10%)(0.20%) 0.42g + 물(3.0배합) 47.28g,"(146,148,151,150/148,146,138,150,150,167,153,135,138)*(초/90/BA_1일숙성/2일숙성)","(40,17/32,9>229/204)*(가:100도1시간/90/유니코A,B)","(양호/양호)*(80도3hr,60도1d/BA)",(7일양호)*(BA),(14일양호)*(40도85%/SM),(53일탈리)*(BA),True,False,False,False,
"24-12-27_SGV227(701A),911M견본품_절곡(10,15mm,BA)_박리 전.pdf;24-12-27_SGV227(701A),911M견본품_절곡(10,15mm,BA)_박리 후.pdf;25-01-08_701A55,911M100_레이저컷팅(BA1.5T,fiber,투컷팅_기화).pdf;25-01-08_레이저 컷팅 요약.txt;25-01-09_701A,911M_가공성(1h,6mm,2B)_0d.pdf;25-01-09_701A,911M_가공성(1h,6mm,2B)_2d.pdf;25-01-09_701A,911M_가공성(1h,6mm,2B)_3d.pdf;25-01-15_937W(기존,항항3주)_가열압착(HL)_그림자.pdf;25-01-16_SGO227(701A55),SGO937W_내충격성(7bar,30도,BA).pdf;25-01-20_944,1275,1286_내충격성(7bar,55도,BA).pdf;25-01-22_701A55,911M100_레이저컷팅(BA1.5T,CO2,투컷팅).pdf;25-01-22_911M(항항4주)_가열압착(HL)_백탁 및 그림.pdf;25-01-22_레이저 컷팅 요약.txt;25-01-31_911M100WPO기존,개선(항항5주)_가열압착(HL)_백.pdf;25-03-24_SGV227(701A),911M_유지력(10cm to 10.5cm,2.5cm)_0min.pdf;25-03-24_SGV227(701A),911M_유지력(10cm to 10.5cm,2.5cm)_10min.pdf;25-03-24_SGV227(701A),911M_유지력(10cm to 10.5cm,2.5cm)_20min.pdf;25-03-24_SGV227(701A),911M_유지력(10cm to 10.5cm,2.5cm)_60min.pdf;25-03-25_SGV227(701A),911M_유지력(10cm to 10cm,2.5cm)_0hr.pdf;25-03-25_SGV227(701A),911M_유지력(10cm to 10cm,2.5cm)_1hr.pdf;25-03-25_SGV227(701A),911M_유지력(10cm to 10cm,2.5cm)_2d.pdf;25-03-25_SGV227(701A),911M_유지력(10cm to 10cm,2.5cm)_2hr.pdf;25-03-25_SGV227(701A),911M_유지력(10cm to 10cm,2.5cm)_5hr.pdf",,SG120241220001,911M/사선100mesh/WPO100(100)x1310x100x1R,무인쇄/Peel Oil,[SGV227]대체용,911(N.V. 48.7%) 60.70g + 913(N.V 46.6%) 7.05g + CX-100(N.V 100%)(1.5%) 0.49g + 물(2.0배합) 31.76g,"(133,136,120,124/148,171/89,140/191,174)*(초/90/BA/견본품,Lab도포_#8/10/12bar)+(/102,95/100,105/141,127/159,176/160,147)*(초/90/BA/항항0,1,2,3,4,5주)+(39,19)*(초/90/WPO배면)+(110/105)*(내한성/90/BA,HL)","(120>222)*(가/90/HL)+(83/90/90/99/126/80>222/209/181/264_그림자/250_그림자/365_백탁)*(가/90/HL/항항0,1,2,3,4,5주)","(양호/양호)*(150도15분,60도24h/HL)",(14일양호)*(BA),(14일양호)*(40도85%/SM),(12/24-)*(BA),True,True,True,True,
"24-12-27_SGV227(701A),911M견본품_절곡(10,15mm,BA)_박리 전.pdf;24-12-27_SGV227(701A),911M견본품_절곡(10,15mm,BA)_박리 후.pdf;25-01-17_701A55,911M100_내충격성(7bar,10도20도).pdf;25-01-22_911M(항항4주)_가열압착(HL)_백탁 및 그림.pdf;25-01-31_911M100WPO기존,개선(항항5주)_가열압착(HL)_백.pdf",,SG120241220002,911M/사선100mesh/개선WPO100(100)x1310x100x1R,무인쇄/Peel Oil,[SGV227]대체용,911(N.V. 48.7%) 60.70g + 913(N.V 46.6%) 7.05g + CX-100(N.V 100%)(1.5%) 0.49g + 물(2.0배합) 31.76g,"(124,126,113/114,97/100,95/144,122/161,130/148,155)*(초/90/BA/항항0,1,2,3,4,5주)","(116>253)*(가/90/HL)+(/103/70/97/97/74>/244/157/269/175_백탁/370_백탁)*(가/90/HL/항항0,1,2,3,4,5주)","(양호/양호)*(150도15분,60도24h/HL)",(14일양호)*(BA),(14일양호)*(40도85%/SM),(12/24-)*(BA),False,True,False,True,
"24-12-27_SGO457,911N견본품_절곡(10,15mm,BA)_박리 전.pdf;24-12-27_SGO457,911N견본품_절곡(10,15mm,BA)_박리 후.pdf;25-02-17_SGO457,911N(항항4주)_가열압착(HL)_탈리.pdf;25-02-24_SGO457,911N(항항5주)_가열압착(HL)_탈리.pdf",1095,SG120241220003,911N/사선60mesh/개선WPO100(100)x1310x100x1R,,[SGO457]대체용,911(N.V. 48.7%) 82.76g + 913(N.V 46.6%) 9.61g + CX-100(N.V 100%)(1.5%) 0.67g + 물(1.2배합) 6.96g,"(169/121,119/170,175,188,203/212,201,234,213/222,178,290,286/200,195,320,331)*(초/90/BA/항항0,1,2,3,4,5주)","(163/131/115/99/42/96/64>323/270/275/250/216/245/96)*(가/90/BA,#3,S-2502-01,-02,-03,-04,2B)+(//220/194/231/207>//316/397/395/505)*(가/90/BA/항항0,1,2,3,4,5주)+(115,139/154/171/122,209/317/337>339,178_1day/391/410/405,413/642_탈리/685_탈리)*(가/90/HL/항항0,1,2,3,4,5주)","(양호/양호)*(150도15분,60도24h/HL)","(14일양호,7일양호)*(BA)",(14일양호)*(40도85%/SM),(12/24-)*(BA),False,True,False,False,
"24-12-27_SGO457,911N견본품_절곡(10,15mm,BA)_박리 전.pdf;24-12-27_SGO457,911N견본품_절곡(10,15mm,BA)_박리 후.pdf;25-02-17_SGO457,911N(항항4주)_가열압착(HL)_탈리.pdf;25-02-24_SGO457,911N(항항5주)_가열압착(HL)_탈리.pdf;25-03-20_SGO457,911N,1446,1447,1449_유지력(10cm to 10.5cm,2.5cm)_0min.jpg;25-03-20_SGO457,911N,1446,1447,1449_유지력(10cm to 10.5cm,2.5cm)_10min.jpg;25-03-20_SGO457,911N,1446,1447,1449_유지력(10cm to 10.5cm,2.5cm)_120min.pdf;25-03-20_SGO457,911N,1446,1447,1449_유지력(10cm to 10.5cm,2.5cm)_20min.jpg;25-03-20_SGO457,911N,1446,1447,1449_유지력(10cm to 10.5cm,2.5cm)_40min.jpg;25-03-20_SGO457,911N,1446,1447,1449_유지력(10cm to 10.5cm,2.5cm)_5min.jpg;25-03-20_SGO457,911N,1446,1447,1449_유지력(10cm to 10.5cm,2.5cm)_60min.jpg",1095,SG120241220004,911N/사선60mesh/WPO100(100)x1310x100x1R,,[SGO457]대체용,911(N.V. 48.7%) 82.76g + 913(N.V 46.6%) 9.61g + CX-100(N.V 100%)(1.5%) 0.67g + 물(1.2배합) 6.96g,"(165,169/154,146)*(초/90/BA/견본품,Lab도포_#18bar)+(/145,142/165,170,166,169/224,198,217,211/220,227,315,330/213,358,346)*(초/90/BA/항항0,1,2,3,4,5주)","(145/125/124/87/48/94/75>265/255/210/248/232/263/95)*(가/90/BA,#3,S-2502-01,-02,-03,-04,2B3T)+(/202/180/185/242/217>/355/265/405/369/481)*(가/90/BA/항항0,1,2,3,4,5주)+(135/149/167/140,210/302/393>300/395/389/432,420/679_탈리/705_탈리)*(가/90/HL/항항0,1,2,3,4,5주)","(양호/양호)*(150도15분,60도24h/HL)","(14일양호,7일양호)*(BA)",(14일양호)*(40도85%/SM),(12/24-)*(BA),False,True,False,False,(52>91_그림자)*(가/90/2B3T)
"24-12-23_909AA(VN),911M100T75_내후(BA)_7일 탈리 및 백탁.pdf;24-12-24_113A(KR,VN)_가공성(1d,8mm,2B)_0d.pdf;24-12-24_113A(KR,VN)_가공성(1d,8mm,2B)_1d.pdf;24-12-24_113A(KR,VN)_가공성(1d,8mm,2B)_2d.pdf;24-12-24_SGVN120241209001_야외폭로(BA)_22일 탈리.pdf;25-01-13_909AA(VN),909X_야외폭로(BA)_21일 탈리.pdf;25-01-13_909X,909AA(견본,준양산)_가공성(1h,8mm,2B)_0d.pdf;25-01-13_909X,909AA(견본,준양산)_가공성(1h,8mm,2B)_1d.pdf;25-01-13_909X,909AA(견본,준양산)_가공성(1h,8mm,2B)_2d.pdf;25-01-13_909X,909AA(VN)_내후성(BA)_7일 백탁.pdf",,SGVN120241209001,909AA/사선120mesh/T48(50)x1290x100x1R,,"[SGO113A]대체용,베트남3차",909(N.V 46.9%) 42.07g + CX-100(N.V. 100%)(3.5%) 0.69g + SV02(N.V 40%)(3%) 1.48g + TSR5903(N.V 50%)(20%) 7.89g + T5845(N.V. 10%)(0.20%) 0.39g + 물(3.0배합) 47.48g,"(94,100,112,98/45,116)*(초/90/BA/생산직후한국측정,25년2월24일베트남측정)","(78,91//>221,274/233/209)*(가/90/상재BA,BA,HL)","((양호/양호)/(양호/양호))*(80도3h,60도24h/BA,HL)+(양호/양호/양호)*(150도15분/BA,SM,HL)","(7일백탁,7일백탁)*(BA)",(14일양호)*(40도85%/SM),"(22일탈리,21일탈리)*(BA)",False,False,False,False,
"24-12-23_909AA(VN),911M100T75_내후(BA)_7일 탈리 및 백탁.pdf;24-12-24_911M사선100목T75_야외폭로(BA)_91일 탈리.pdf;25-01-31_911M100T75(항항5주)_가열압착(BA)_탈리.pdf",,SG120241220000,911M/사선100mesh/T75(80)x1310x50x1R,,[Novacel4505]대체용,911(N.V. 48.7%) 82.76g + 913(N.V 46.6%) 9.61g + CX-100(N.V 100%)(1.5%) 0.67g + 물(1.2배합) 6.96g,"(139,149/138,152/130,115/176,175/166,167,169/172,162)*(초/90/BA/항항01,2,3,4,5주)","(177//53/72>388,230/134/205/195)*(가/90/BA,HL,304L,2B3T)+(/163/140/177/167/133>/424/260/391/316/431_탈리)*(가/90/BA/항항0,1,2,3,4,5주)","((양호/양호)/(양호/양호))*(80도3h,60도24h/BA,HL)+(그림자)*(150도15분/2B)",(7일탈리)*(BA),(14일양호)*(40도85%/SM),(91일탈리)*(BA),False,False,False,False,
"24-12-27_Novacel4233,Novacel4505,911M견본품_절곡(10,15mm,BA)_박리 전.pdf;24-12-27_Novacel4233,Novacel4505,911M견본품_절곡(10,15mm,BA)_박리 후.pdf;25-01-31_911M100BW68(항항5주)_가열압착(BA)_백탁.pdf",,SG120241220000,911M/사선100mesh/BW68(70)x1310x50x1R,,[Novacel4233]대체용,911(N.V. 48.7%) 82.76g + 913(N.V 46.6%) 9.61g + CX-100(N.V 100%)(1.5%) 0.67g + 물(1.2배합) 6.96g,"(137,137/137,128/110,125/125,154/132,121/91,115)*(초/90/BA/항항01,2,3,4,5주)","(152//78>283,227/194/137)*(가/90/BA,HL,2B3T)+(/165/148/125/107/76>/304/256/328/214/279_백탁)*(가/90/BA/항항0,1,2,3,4,5주)","((양호/양호)/(양호/양호))*(80도3h,60도24h/BA,HL)",(7일양호)*(BA),(14일양호)*(40도85%/SM),(12/24-)*(BA),False,True,False,False,
"25-01-13_909AA(VN),909X_야외폭로(BA)_21일 탈리.pdf;25-01-13_909X,909AA(견본,준양산)_가공성(1h,8mm,2B)_0d.pdf;25-01-13_909X,909AA(견본,준양산)_가공성(1h,8mm,2B)_1d.pdf;25-01-13_909X,909AA(견본,준양산)_가공성(1h,8mm,2B)_2d.pdf;25-01-13_909X,909AA(VN)_내후성(BA)_7일 백탁.pdf;25-01-17_113A(유성),909AA(VN)_가공성(1h,8mm,2B)_0d.pdf;25-01-17_113A(유성),909AA(VN)_가공성(1h,8mm,2B)_1d.pdf;25-01-17_113A(유성),909AA(VN)_가공성(1h,8mm,2B)_2d.pdf;25-03-04_SGO113A(유성,909AA),1371,1382-1385_가공성(1h,8mm,2B)_0d.pdf;25-03-04_SGO113A(유성,909AA),1371,1382-1385_가공성(1h,8mm,2B)_1d.pdf;25-03-04_SGO113A(유성,909AA),1371,1382-1385_가공성(1h,8mm,2B)_2d.pdf;25-03-07_SGO113A(유,수),1371,1384,1405,1406_가공성(3d,8mm,2B)_0d.pdf;25-03-07_SGO113A(유,수),1371,1384,1405,1406_가공성(3d,8mm,2B)_1d.pdf;25-03-07_SGO113A(유,수),1371,1384,1405,1406_가공성(3d,8mm,2B)_2d.pdf",,SGVN120241230001,909AA/사선120mesh/T48(50)x1290x2000x1R,,"[SGO113A]대체용,베트남4차",909(N.V 46.9%) 42.07g + CX-100(N.V. 100%)(3.5%) 0.69g + SV02(N.V 40%)(3%) 1.48g + TSR5903(N.V 50%)(20%) 7.89g + T5845(N.V. 10%)(0.20%) 0.39g + 물(3.0배합) 47.48g,"(115,110,115,109,105,105,105,120,114,110,105,110,115,123,119,120,126,127,129,125,131)*(초/90/BA)","(89,122/119,84/102,48,40>280,277/230,273/200,230,204)*(가/90/BA,상재BA,HL)","(양호/양호/양호)*(150도15분/BA,SM,HL)",(7일백탁)*(BA),(14일양호)*(40도85%/SM),(21일탈리)*(BA),False,False,False,False,
"25-03-17_913A,911O,917B(VN,항항1.5주)_가열압착(BA)_백탁 및 탈리.pdf;25-03-17_913A,911O,917B(VN,항항1주)_가열압착(BA)_백탁 및 탈리.pdf;25-03-21_913A,911O,917B(VN,항항2주)_가열압착(BA)_백탁 및 탈리.pdf",,SGVN120250106001,913A/사선120mesh/BW58(60)x1100x320x1R,무인쇄/무배면,[베트남LIXIL사AL프로파일용]유광,913(N.V.46.6%) 57.25g+CX-100(N.V.100%)(1.3%) 0.35g + 물 42.40g (2.7배합),"(169,174,188,182//209/172/210)*(초/90/BA/항항0,0.5,1,1.5.2주차)","(//233/197/220>346//525_백탁/421_백탁/420)*(가/90/BA/항항0,0.5,1,1.5,2주차)","(양호/양호)*(150도15분,80도3시간/BA)",(7일양호)*(BA),(14일양호)*(40도85%/SM),(1/24-)*(BA),False,False,False,False,
