첨부자료,Lab 일련번호,LOT,점착사양,인쇄/배면,분류,배합,점착력,가열압착,내열성,내후성,내습성,야외폭로,가공/유지력,절곡성,레이저커팅성,내충격성,비고
,,SGVN120250107002,911O/사선60mesh/BW48(60)x1310x200x1R,무인쇄/무배면,[베트남LIXIL사AL프로파일용]무광,911(N.V 48.7%) 92.87g + SV-02(N.V 40%)(0.5%) 0.23g + 물 6.90g (1.2배합),"(323,320,317,324)*(초/90/BA)",(>590)*(가/90/BA),"(양호/양호)*(150도15분,80도3시간/BA)",(7일양호)*(BA),(14일양호)*(40도85%/SM),(1/24-)*(BA),False,False,False,False,
"25-01-24_917B50BW58,917B50BW48_내후(BA)_7일 탈리.pdf;25-01-24_명배,917B50BW58,917B50BW48_부착유지력(S-2410-03)_7d.pdf;25-01-24_SGVN120250107004,005_항온항습(SM)_14일 탈리.pdf",,SGVN120250107004,917B/사선50mesh/BW48(70)x1310x300x1R,무인쇄/무배면,[베트남LIXIL사AL프로파일용]난부착,917(N.V 46.5%) 76.70g + 911(N.V. 48.7%) 18.31g + CX-100(N.V 100%)(1.2%) 0.53g + TSR1650(N.V)(50%) 4.46g + 물(1.11배합) 0g,"(366,374)*(초/90/BA)",,"(백탁/백탁)*(150도15분,80도3시간/BA)",(7일탈리)*(BA),(14일탈리)*(40도85%/SM),(1/24-)*(BA),False,False,False,False,
"25-03-17_913A,911O,917B(VN,항항1.5주)_가열압착(BA)_백탁 및 탈리.pdf;25-03-17_913A,911O,917B(VN,항항1주)_가열압착(BA)_백탁 및 탈리.pdf;25-03-21_913A,911O,917B(VN,항항2주)_가열압착(BA)_백탁 및 탈리.pdf",,SGVN120250107001,911O/사선60mesh/BW68(80)x1310x200x1R,무인쇄/무배면,[태국YHS사AL프로파일용]무광,911(N.V 48.7%) 92.87g + SV-02(N.V 40%)(0.5%) 0.23g + 물 6.90g (1.2배합),"(269,259,276,287//329/270/360)*(초/90/BA/항항0,0.5,1,1.5.2주차)","(//327/323/380>457//736_탈리/680_탈리/715_탈리)*(가/90/BA/항항0,0.5,1,1.5,2주차)","(양호/양호)*(150도15분,80도3시간/BA)",(7일양호)*(BA),(14일양호)*(40도85%/SM),(1/24-)*(BA),False,False,False,False,
"25-01-24_917B50BW58,917B50BW48_내후(BA)_7일 탈리.pdf;25-01-24_명배,917B50BW58,917B50BW48_부착유지력(S-2410-03)_7d.pdf;25-01-24_SGVN120250107004,005_항온항습(SM)_14일 탈리.pdf;25-03-17_913A,911O,917B(VN,항항1.5주)_가열압착(BA)_백탁 및 탈리.pdf;25-03-17_913A,911O,917B(VN,항항1주)_가열압착(BA)_백탁 및 탈리.pdf;25-03-21_913A,911O,917B(VN,항항2주)_가열압착(BA)_백탁 및 탈리.pdf",,SGVN120250107005,917B/사선50mesh/BW58(80)x1310x170x1R,무인쇄/무배면,[태국YHS사AL프로파일용]난부착,917(N.V 46.5%) 76.70g + 911(N.V. 48.7%) 18.31g + CX-100(N.V 100%)(1.2%) 0.53g + TSR1650(N.V)(50%) 4.46g + 물(1.11배합) 0g,"(472,485//543/540/625)*(초/90/BA/항항0,0.5,1,1.5.2주차)","(//545/600/615>//1360_탈리/1330_탈리/1350_탈리)*(가/90/BA/항항0,0.5,1,1.5,2주차)","(백탁/백탁)*(150도15분,80도3시간/BA)",(7일탈리)*(BA),(14일탈리)*(40도85%/SM),(1/24-)*(BA),False,False,False,False,
,,SGVN120250107003,917B/사선50mesh/T58(80)x1350x300x1R,무인쇄/무배면,"[동국씨엠난부착PCM용]550g타겟,베트남생산",917(N.V 46.5%) 76.70g + 911(N.V. 48.7%) 18.31g + CX-100(N.V 100%)(1.2%) 0.53g + TSR1650(N.V)(50%) 4.46g + 물(1.11배합) 0g,"(402,402)*(초/90/BA)",,"(백탁/백탁)*(150도15분,80도3시간/BA)+(양호)*(80도3시간/동국난부착PCM)",(7일양호)*(동국난부착PCM),(14일양호)*(40도85%/동국난부착PCM),(1/24-)*(동국난부착PCM),False,False,False,False,
"25-02-12_SGO965BD,SGO975BB_가열압착(BA)_탈리.pdf",,SGVN120250110001,911E/사선60mesh/GG75(80)x1310x190x1R,무인쇄/무배면,[SGO965BD],911(N.V 48.7%) 88.22g+CX-100(N.V. 100%)(0.8%) 0.34g+TSR-5903(N.V. 50%)(5%) 4.30g+ 물 7.14g (1.2배합),"(372,368,326,334,349,346,349,343,344,338,345,350,353,315,295,322,316,314,335,316,316,305,330)*(초/90/BA)","(320,342>889,752,741_탈리,802)*(가/90/BA)",,,,,False,False,False,False,
"25-01-24_SGE133,911P_가공성(1hr,8mm,2B)_0d.pdf;25-01-24_SGE133,911P_가공성(1hr,8mm,2B)_1d.pdf;25-01-24_SGE133,911P_가공성(1hr,8mm,2B)_2d.pdf;25-01-24_SGE133,911P_내충격성(7bar,55도및30도).pdf;25-02-04_911P,SGE133_절곡(10,15mm,BA)_박리 전.pdf;25-02-04_911P,SGE133_절곡(10,15mm,BA)_박리 후.pdf;25-02-17_911P(항항3주)_가열압착(상재BA)_백탁.pdf;25-03-04_SGE133(911P_항항5주)_가열압착(BA)_탈리.pdf;25-03-20_SGE133,911P,1443-1445_유지력(10cm to 10.5cm,2cm)_0min.jpg;25-03-20_SGE133,911P,1443-1445_유지력(10cm to 10.5cm,2cm)_20min.pdf;25-03-20_SGE133,911P,1443-1445_유지력(10cm to 10.5cm,2cm)_60min.pdf;25-04-03_SGE133,911P,1443,1444_유지력(10cm to 10.5cm,2B3T)_0min..pdf;25-04-03_SGE133,911P,1443,1444_유지력(10cm to 10.5cm,2B3T)_10min..pdf;25-04-03_SGE133,911P,1443,1444_유지력(10cm to 10.5cm,2B3T)_20min..pdf;25-04-03_SGE133,911P,1443,1444_유지력(10cm to 10.5cm,2B3T)_60min..pdf;25-04-10_SGE133,911P,1530,1537,1538_유지력(10cm to 10.5cm,2B3T)_0min..pdf;25-04-10_SGE133,911P,1530,1537,1538_유지력(10cm to 10.5cm,2B3T)_10min..pdf;25-04-10_SGE133,911P,1530,1537,1538_유지력(10cm to 10.5cm,2B3T)_5min..pdf",1212,SG120250122001,911P/사선120mesh/B45(50)x1310x200x1R,,[SGE133]대체용,911(N.V. 48.7%) 45.07g + 913(N.V 46.6%) 5.23g + CX-100(N.V 100%)(2.5%) 0.61g + 물(3.0배합) 49.09g,"(121,100,97,98,89/100,105/132,149/200,200/185,193/214,234)*(초/90/BA/항항0,1,2,3,4,5주)+(97/101,95,115,104,104,99,116/97,99,107,108,95,104,106/105,118,116,121,117,114,119/99,94,94,94,98,91,86/104,108)*(초/90/BA/부위별1~6)+(67)*(초/90/#3)+(130/80)*(내한성/90/BA,HL)","(100,102/45,48//62/66/29/54/60/30,45>190,201/138,162/179/170,394/158,210/75,60/137/174,250/45,70)*(가/90/BA,HL,상재BA,S-2502-01,-02,-03,-04,#3,2B3T)+(/74/88/165/165/179>/155//350_백탁/240/400_탈리)*(가/90/상재BA/항항0,1,2,3,4,5주)","(양호/양호)*(80도3시간,60도24h/BA)",(7일양호)*(BA),(14일양호)*(40도85%/SM),(1/24-)*(BA),True,True,False,True,
"25-01-24_SGO413,909O,909AB_가공성(1hr,8mm,2B)_0d.pdf;25-01-24_SGO413,909O,909AB_가공성(1hr,8mm,2B)_1d.pdf;25-01-24_SGO413,909O,909AB_가공성(1hr,8mm,2B)_2d.pdf",1169,SG120250122002,909AB/사선150mesh/T45(50)x1480x160x1R,,[SGO413]고무롤러 건조현상 개선용,909(N.V 46.9%) 38.18g + CX-100(N.V. 100%)(4.5%) 0.80g + SV02(N.V 40%)(2%) 0.90g + TSR5903(N.V 50%)(5%) 1.79g + T5845(N.V. 10%)(0.20%) 0.36g + 물(4.0배합) 57.97g,"(/28,30/56,45/59,52/60,56/92,85)*(초/90/BA/항항0,1,2,3,4,5주)","(/18/29/26/34/68>/121/130/121/96/175)*(가/90/상재BA/항항0,1,2,3,4,5주)+(17>73)*(가:100도1시간/90/HL)","(양호/양호)*(80도3시간,60도24h/BA)",(7일양호)*(BA),(14일양호)*(40도85%/SM),(1/24-)*(BA),True,False,False,False,
"25-02-12_SGO965BD,SGO975BB_가열압착(BA)_탈리.pdf",,SGVN120241212008,911F/사선60mesh/GG75(80)x1310x150x1R,무인쇄/무배면,[SGO975BB],911(N.V 48.7%) 84.24g+CX-100(N.V. 100%)(0.8%) 0.33g+TSR-5903(N.V. 50%)(10%) 8.21g+ 물 7.22g (1.2배합),(420)*(초/90/BA/25년2월24일기준),"(430>846_탈리,990_필름찢어짐)*(가/90/BA/25년2월24일기준)",,,,,False,False,False,False,
,,SGVN120241212006,911F/사선60mesh/GG75(80)xA4,무인쇄/무배면,[SGO975BB],911(N.V 48.7%) 84.24g+CX-100(N.V. 100%)(0.8%) 0.33g+TSR-5903(N.V. 50%)(10%) 8.21g+ 물 7.22g (1.2배합),"(462,460)*(초/90/BA.25년2월24일기준)",(511>914_필름찢어짐)*(가/90/BA/25년2월24일기준),,,,,False,False,False,False,
25-02-24_SGVN120240827001(965BD)_가열압착(BA)_탈리.pdf,,SGVN120240827001,911E/사선60mesh/GG75(80)xA4,무인쇄/무배면,[SGO965BD],911(N.V 48.7%) 88.22g+CX-100(N.V. 100%)(0.8%) 0.34g+TSR-5903(N.V. 50%)(5%) 4.30g+ 물 7.14g (1.2배합),"(452,478)*(초/90/BA/25년2월24일기준)",(485>977_탈리)*(가/90/BA/25년2월24일기준),,,,,False,False,False,False,
,,SG120250224012,911F/사선60mesh/G75(80)x1219x150x1R,LaserPoly/Peel Oil,[SGO975BB]일본나까무라금속향견본,911(N.V 48.7%) 84.24g+CX-100(N.V. 100%)(0.8%) 0.33g+TSR-5903(N.V. 50%)(10%) 8.21g+ 물 7.22g (1.2배합),"(450,432)*(초/90/BA)",(409>565)*(가/90/BA),"(양호/양호)*(80도3시간,60도24h/BA)",(7일양호)*(BA),(14일양호)*(40도85%/SM),(2/26-)*(BA),False,False,False,False,
,,SG120250224011,911E/사선60mesh/G75(80)x1219x120x1R,LaserPoly/Peel Oil,[SGO965BD]일본나까무라금속향견본,911(N.V 48.7%) 88.22g+CX-100(N.V. 100%)(0.8%) 0.34g+TSR-5903(N.V. 50%)(5%) 4.30g+ 물 7.14g (1.2배합),"(325,362)*(초/90/BA)",(329>540)*(가/90/BA),"(양호/양호)*(80도3시간,60도24h/BA)",(7일양호)*(BA),(14일양호)*(40도85%/SM),(2/26-)*(BA),False,False,False,False,
,,SG120250224000,913B/사선150mesh/T75(80)x1219x1000x10R,,[SGE915]공정이송용,913(N.V.46.6%) 55.24g+CX-100(N.V.100%)(3%) 0.77g + SV02(N.V.40%)(2%) 1.29g + 물 42.70g (2.7배합),"(53,52)*(초/90/BA)","(62,65>225,240)*(가/90/BA)",,,,,False,False,False,False,
"25-03-04_SGO413(909O,909AB)_가공성(1h,8mm,2B)_0d.pdf;25-03-04_SGO413(909O,909AB)_가공성(1h,8mm,2B)_1d.pdf;25-03-04_SGO413(909O,909AB)_가공성(1h,8mm,2B)_2d.pdf",,SG120250228001,909O/사선150mesh/T45(50)x1219x2000x7R,,[SGO413]REF.,909(N.V 46.9%) 51.36g + CX-100(N.V. 100%)(5%) 1.20g + SV02(N.V 40%)(2%) 1.20g + TSR5903(N.V 50%)(5%) 2.41g + T5845(N.V. 10%)(0.20%) 0.48g + 물(2.7배합) 43.35g,"(26,38/28,25)*(초/90/BA/양산품,Lab도포_#4bar)","(25/19>160/116)*(초/90/BA/양산품,Lab도포_#4bar)+(24/18>172,130/139)*(초/90/304L/양산품,Lab도포_#4bar)","(양호/양호)*(80도3시간,60도24h/BA)",,,,False,False,False,False,
"25-03-04_SGO413(909O,909AB)_가공성(1h,8mm,2B)_0d.pdf;25-03-04_SGO413(909O,909AB)_가공성(1h,8mm,2B)_1d.pdf;25-03-04_SGO413(909O,909AB)_가공성(1h,8mm,2B)_2d.pdf",,SG120250228008,909AB/사선150mesh/T45(50)x1219x2000x3R,,[SGO413]고무롤러 건조현상 개선용,909(N.V 46.9%) 38.18g + CX-100(N.V. 100%)(4.5%) 0.80g + SV02(N.V 40%)(2%) 0.90g + TSR5903(N.V 50%)(5%) 1.79g + T5845(N.V. 10%)(0.20%) 0.36g + 물(4.0배합) 57.97g,"(22,23/23,23)*(초/90/BA/양산품,Lab도포_#4bar)","(21/18>99/91)*(초/90/BA/양산품,Lab도포_#4bar)+(20/9>125,100/94)*(초/90/304L/양산품,Lab도포_#4bar)","(양호/양호)*(80도3시간,60도24h/BA)",(7일양호)*(BA),,,False,False,False,False,
,,SG120250306004,909O/사선150mesh/IED_T45(50)x1219x2000x7R,,[SGO413]공정이송용_기존원단,909(N.V 46.9%) 51.36g + CX-100(N.V. 100%)(5%) 1.20g + SV02(N.V 40%)(2%) 1.20g + TSR5903(N.V 50%)(5%) 2.41g + T5845(N.V. 10%)(0.20%) 0.48g + 물(2.7배합) 43.35g,"(36,20)*(초/90/BA)",(27>150)*(가/90/BA),,(7일양호)*(BA),,,False,False,False,False,
,,SG120250306008,909O/사선150mesh/DCM_T45(50)x1219x2000x4R,,[SGO413]공정이송용_DCM원단적용,909(N.V 46.9%) 51.36g + CX-100(N.V. 100%)(5%) 1.20g + SV02(N.V 40%)(2%) 1.20g + TSR5903(N.V 50%)(5%) 2.41g + T5845(N.V. 10%)(0.20%) 0.48g + 물(2.7배합) 43.35g,"(22,23)*(초/90/BA)",(21>150)*(가/90/BA),,,,,False,False,False,False,
,,SG120240905001,916A/사선50mesh/T58(80)x1290x100x1R,무인쇄/무배면,[동국씨엠난부착PCM용]배면시험용,916(N.V 47.0%) 86.75g + SV02(N.V 40%)(1%) 1.11g + TSR1650(N.V 50%)(15%) 12.23g,"(590,598,540/160)*(초/90/BA,동국대나무판)+(540/378)*(풀림성/90/바로,재부착)",,,,,,False,False,False,False,
"24-09-06_916A_내후내습(BA)_4일 탈리.pdf;24-09-09_916A,663,667-669_가열압착(동국난부착PCM)_탈리.pdf;24-09-11_916A_가열압착(동국난부착PCM)_탈리.pdf",,SG120240905002,916A/사선50mesh/T58(80)x1290x50x1R,무인쇄/Peel Oil,[동국씨엠난부착PCM용]600g 타겟,916(N.V 47.0%) 86.75g + SV02(N.V 40%)(1%) 1.11g + TSR1650(N.V 50%)(15%) 12.23g,"(543,538,580,590/135,135,122)*(초/90/BA,동국대나무판)+(244,243,230,233,204/165,191,177,174,188,174)*(풀림성/90/바로,재부착)","(/>430,215/414,382_탈리,607_탈리)*(가,가:100도1시간/90/동국대나무판)",,,(4일탈리)*(50도85%UV/SM),,False,False,False,False,
